# Seed CSV: /Users/angelobaricante/CS-Thesis-Model-Training/seeds/qrng_seeds.csv
# NOTE: A2C Training - Each environment uses unique/offset mazes in parallel

episode,timestep,maze_seed,reward,length,success,avg_reward_100,avg_length_100,success_rate_100,unique_mazes_seen
1,6000,13489725472828908841,-89.74,500,0,-89.74,500.0,0.0,1
2,6000,6171947649416591322,-74.44,500,0,-82.09,500.0,0.0,2
3,6000,15248021848742551826,-104.07,500,0,-89.42,500.0,0.0,3
4,6000,3024614475431424903,-54.18,500,0,-80.61,500.0,0.0,4
5,6000,8421032824675649285,-96.24,500,0,-83.73,500.0,0.0,5
6,6000,137743098416772409,-86.75,500,0,-84.24,500.0,0.0,6
7,6000,10825776799651039450,-44.04,500,0,-78.49,500.0,0.0,7
8,6000,6550599649586689508,-44.00,500,0,-74.18,500.0,0.0,8
9,6000,10673939618093821046,-153.84,500,0,-83.03,500.0,0.0,9
10,6000,3033551743436537089,-121.35,500,0,-86.87,500.0,0.0,10
11,6000,13100570903668117029,-125.43,500,0,-90.37,500.0,0.0,11
12,6000,13460545218872008355,-55.69,500,0,-87.48,500.0,0.0,12
13,8088,1043968853803077998,308.13,174,1,-57.05,474.9,7.7,13
14,12000,4535469543323143118,-51.07,500,0,-56.62,476.7,7.1,14
15,12000,7963437600900595466,-83.88,500,0,-58.44,478.3,6.7,15
16,12000,4613197450636686963,-78.34,500,0,-59.68,479.6,6.2,16
17,12000,13145616319605486461,-47.24,500,0,-58.95,480.8,5.9,17
18,12000,8732497094669464261,-38.85,500,0,-57.83,481.9,5.6,18
19,12000,10754664279746954151,-30.11,500,0,-56.37,482.8,5.3,19
20,12000,7305357861771059007,-121.88,500,0,-59.65,483.7,5.0,20
21,12000,6001182031169597924,-108.15,500,0,-61.96,484.5,4.8,21
22,12000,3431877959751719732,-0.39,500,0,-59.16,485.2,4.5,22
23,12000,4858779513777518555,-71.04,500,0,-59.68,485.8,4.3,23
24,12000,12934048555403895870,-123.79,500,0,-62.35,486.4,4.2,24
25,14088,12396094131003682828,-71.82,500,0,-62.73,487.0,4.0,25
26,18000,16112388300639988501,-46.61,500,0,-62.11,487.5,3.8,26
27,18000,15336730116398655285,15.24,500,0,-59.24,487.9,3.7,27
28,18000,17875627648110973066,-55.03,500,0,-59.09,488.4,3.6,28
29,18000,7127552978843871313,17.12,500,0,-56.46,488.8,3.4,29
30,18000,4510579620332624255,-54.16,500,0,-56.39,489.1,3.3,30
31,18000,4529180109597153941,-37.10,500,0,-55.77,489.5,3.2,31
32,18000,3158158378977722743,11.49,500,0,-53.66,489.8,3.1,32
33,18000,6487450829014363214,45.64,500,0,-50.65,490.1,3.0,33
34,18000,17610203196594821702,-42.66,500,0,-50.42,490.4,2.9,34
35,18000,11235206640686777757,-12.19,500,0,-49.33,490.7,2.9,35
36,18000,811813770382393753,-81.13,500,0,-50.21,490.9,2.8,36
37,20088,15528842599978318346,-35.17,500,0,-49.80,491.2,2.7,37
38,24000,14446539011501570785,0.45,500,0,-48.48,491.4,2.6,38
39,24000,1623035611873735355,22.57,500,0,-46.66,491.6,2.6,39
40,24000,3677812005404074580,43.19,500,0,-44.41,491.9,2.5,40
