# Seed CSV: /Users/angelobaricante/CS-Thesis-Model-Training/seeds/prng_seeds.csv
# NOTE: A2C Training - Each environment uses unique/offset mazes in parallel

episode,timestep,maze_seed,reward,length,success,avg_reward_100,avg_length_100,success_rate_100,unique_mazes_seen
74,42000,9484487052667551156,210.22,500,0,38.39,499.5,1.4,74
75,42000,12236126824530621385,169.18,500,0,40.13,499.5,1.3,75
76,42000,855184622356068571,98.28,500,0,40.90,499.5,1.3,76
77,42000,15834972196773435646,152.46,500,0,42.35,499.5,1.3,77
78,42000,12408935994070282962,91.58,500,0,42.98,499.5,1.3,78
79,42000,11981284399029439191,174.06,500,0,44.64,499.5,1.3,79
80,42000,3207301218311601108,68.58,500,0,44.94,499.6,1.2,80
81,42000,7965682761333498567,181.64,500,0,46.62,499.6,1.2,81
82,42000,13630246432225533946,186.30,500,0,48.33,499.6,1.2,82
83,42000,17151581682957684717,188.24,500,0,50.01,499.6,1.2,83
84,42000,5203642081824491887,165.83,500,0,51.39,499.6,1.2,84
85,47568,6513211260447073981,84.31,500,0,51.78,499.6,1.2,85
86,48000,1282154305957738864,182.62,500,0,53.30,499.6,1.2,86
87,48000,12864811954472004187,98.19,500,0,53.82,499.6,1.1,87
88,48000,13048294551188987203,102.23,500,0,54.37,499.6,1.1,88
89,48000,17077070056391960068,194.64,500,0,55.94,499.6,1.1,89
90,48000,14587187658110522263,176.87,500,0,57.29,499.6,1.1,90
91,48000,11033758505807755380,178.98,500,0,58.62,499.6,1.1,91
92,48000,10027974101905967125,177.46,500,0,59.92,499.6,1.1,92
93,48000,13682009770390657341,173.56,500,0,61.14,499.6,1.1,93
94,48000,15313979806885385665,208.46,500,0,62.71,499.6,1.1,94
95,48000,16679140763471176525,134.02,500,0,63.46,499.6,1.1,95
96,48000,15609030911540769314,223.51,500,0,65.12,499.6,1.0,96
97,53568,16008602730533986715,150.92,500,0,66.01,499.6,1.0,97
98,54000,12213021893741313679,180.82,500,0,67.18,499.6,1.0,98
99,54000,11837311832849461841,184.65,500,0,68.37,499.6,1.0,99
100,54000,782797373716506053,127.21,500,0,68.95,499.6,1.0,100
101,54000,4608807299216813642,159.76,500,0,68.20,500.0,0.0,101
102,54000,7064522463759185187,174.68,500,0,70.56,500.0,0.0,102
103,54000,5758638161781062089,166.75,500,0,73.05,500.0,0.0,103
104,54000,712942329043169505,140.31,500,0,75.44,500.0,0.0,104
105,54000,2576126327835236319,107.01,500,0,77.35,500.0,0.0,105
106,54000,5509031414646806880,168.94,500,0,79.12,500.0,0.0,106
107,54000,7579020158697526728,156.92,500,0,81.40,500.0,0.0,107
108,54000,3599934932040823406,168.27,500,0,83.59,500.0,0.0,108
109,59568,1822406028880233841,168.11,500,0,86.13,500.0,0.0,109
110,60000,2614885943062049209,142.58,500,0,88.36,500.0,0.0,110
111,60000,16652202415099116449,175.91,500,0,90.96,500.0,0.0,111
112,60000,484746555860799563,187.66,500,0,94.19,500.0,0.0,112
113,60000,5358669490539477174,175.51,500,0,96.40,500.0,0.0,113
114,60000,13603683912950228237,144.10,500,0,98.67,500.0,0.0,114
115,60000,17754636440003173832,163.47,500,0,100.41,500.0,0.0,115
116,60000,15597545835739069363,166.00,500,0,102.79,500.0,0.0,116
117,60000,14446922329932930499,181.76,500,0,104.54,500.0,0.0,117
118,60000,15286495790288296836,161.87,500,0,106.77,500.0,0.0,118
119,60000,2068324999780398490,154.89,500,0,109.14,500.0,0.0,119
120,60000,6556398741343982540,219.00,500,0,112.10,500.0,0.0,120
121,65568,2667181007669166969,177.12,500,0,113.88,500.0,0.0,121
