metric,count,mean,median,iqr,std
shortest_path_len,76800,87.505546875,84.0,44.0,
tortuosity,76800,2.573692555147059,2.4705882352941178,1.2941176470588234,
dead_end_count,76800,11.838346354166667,12.0,2.0,1.840068555672264
p3,76800,0.9934912586646862,1.0,0.0,
p4,76800,0.0065087413353138125,0.0,0.0,
mean_turns_per_corridor,76800,1.8266459206778431,1.7777777777777777,0.49175412293853094,
