metric,count,mean,median,iqr,std
shortest_path_len,76801,87.49633468314215,84.0,44.0,
tortuosity,76801,2.5734216083277097,2.4705882352941178,1.2941176470588234,
dead_end_count,76801,11.84356974518561,12.0,2.0,1.8374597746399923
p3,76801,0.9933207815947829,1.0,0.0,
p4,76801,0.0066792184052170385,0.0,0.0,
mean_turns_per_corridor,76801,1.8236226307664802,1.7777777777777777,0.49175412293853094,
