# Seed CSV: qrng_seeds.csv
# NOTE: Train 19 - Each environment uses unique/offset mazes in parallel

episode,timestep,maze_seed,reward,length,success,avg_reward_100,avg_length_100,success_rate_100,unique_mazes_seen
1,6000,13489725472828908841,-124.43,500,0,-124.43,500.0,0.0,1
2,6000,6171947649416591322,-97.08,500,0,-110.75,500.0,0.0,2
3,6000,15248021848742551826,-115.75,500,0,-112.42,500.0,0.0,3
4,6000,3024614475431424903,-88.85,500,0,-106.52,500.0,0.0,4
5,6000,8421032824675649285,-81.12,500,0,-101.44,500.0,0.0,5
6,6000,137743098416772409,-79.07,500,0,-97.71,500.0,0.0,6
7,6000,10825776799651039450,-133.38,500,0,-102.81,500.0,0.0,7
8,6000,6550599649586689508,-62.74,500,0,-97.80,500.0,0.0,8
9,6000,10673939618093821046,-104.00,500,0,-98.49,500.0,0.0,9
10,6000,3033551743436537089,-113.46,500,0,-99.98,500.0,0.0,10
11,6000,13100570903668117029,-39.18,500,0,-94.46,500.0,0.0,11
12,6000,13460545218872008355,-84.86,500,0,-93.66,500.0,0.0,12
13,12000,4535469543323143118,-76.24,500,0,-92.32,500.0,0.0,13
14,12000,7963437600900595466,-100.24,500,0,-92.88,500.0,0.0,14
15,12000,4613197450636686963,-79.23,500,0,-91.97,500.0,0.0,15
16,12000,13145616319605486461,-96.75,500,0,-92.27,500.0,0.0,16
17,12000,8732497094669464261,-91.20,500,0,-92.21,500.0,0.0,17
18,12000,10754664279746954151,-79.46,500,0,-91.50,500.0,0.0,18
19,12000,7305357861771059007,-127.21,500,0,-93.38,500.0,0.0,19
20,12000,6001182031169597924,-91.98,500,0,-93.31,500.0,0.0,20
21,12000,1043968853803077998,-98.06,500,0,-93.54,500.0,0.0,21
22,12000,3431877959751719732,-49.76,500,0,-91.55,500.0,0.0,22
23,12000,4858779513777518555,-55.57,500,0,-89.98,500.0,0.0,23
24,12000,12934048555403895870,-41.54,500,0,-87.96,500.0,0.0,24
25,18000,16112388300639988501,-103.31,500,0,-88.58,500.0,0.0,25
26,18000,15336730116398655285,-62.64,500,0,-87.58,500.0,0.0,26
27,18000,17875627648110973066,-64.69,500,0,-86.73,500.0,0.0,27
28,18000,7127552978843871313,-93.30,500,0,-86.97,500.0,0.0,28
29,18000,4510579620332624255,-61.41,500,0,-86.08,500.0,0.0,29
30,18000,4529180109597153941,-108.87,500,0,-86.84,500.0,0.0,30
31,18000,3158158378977722743,-45.04,500,0,-85.50,500.0,0.0,31
32,18000,6487450829014363214,-123.46,500,0,-86.68,500.0,0.0,32
33,18000,12396094131003682828,-99.17,500,0,-87.06,500.0,0.0,33
34,18000,17610203196594821702,-119.42,500,0,-88.01,500.0,0.0,34
35,18000,11235206640686777757,-102.93,500,0,-88.44,500.0,0.0,35
36,18000,811813770382393753,-104.29,500,0,-88.88,500.0,0.0,36
37,24000,14446539011501570785,-116.58,500,0,-89.63,500.0,0.0,37
