# Seed CSV: prng_seeds.csv
# NOTE: Train 19 - Each environment uses unique/offset mazes in parallel

episode,timestep,maze_seed,reward,length,success,avg_reward_100,avg_length_100,success_rate_100,unique_mazes_seen
1,6000,971695362467996196,-64.39,500,0,-64.39,500.0,0.0,1
2,6000,4722055102353018575,-122.09,500,0,-93.24,500.0,0.0,2
3,6000,9416705256328773456,-106.44,500,0,-97.64,500.0,0.0,3
4,6000,18209816042987392921,-85.50,500,0,-94.60,500.0,0.0,4
5,6000,12249684362543296198,-117.40,500,0,-99.16,500.0,0.0,5
6,6000,18439256158492860165,-60.17,500,0,-92.66,500.0,0.0,6
7,6000,3434422392642176074,-92.31,500,0,-92.61,500.0,0.0,7
8,6000,5935988960942181436,-96.80,500,0,-93.13,500.0,0.0,8
9,6000,13288998900360654768,-63.32,500,0,-89.82,500.0,0.0,9
10,6000,6485551435170465117,-121.84,500,0,-93.02,500.0,0.0,10
11,6000,7222146671798848202,-100.33,500,0,-93.69,500.0,0.0,11
12,6000,1925203196787626386,-110.17,500,0,-95.06,500.0,0.0,12
13,12000,12791249090344812902,-98.93,500,0,-95.36,500.0,0.0,13
14,12000,16271330311358250483,-106.76,500,0,-96.17,500.0,0.0,14
15,12000,16216597592657657882,-105.00,500,0,-96.76,500.0,0.0,15
16,12000,15166214502129994831,-73.56,500,0,-95.31,500.0,0.0,16
17,12000,3950739390256855190,-117.67,500,0,-96.63,500.0,0.0,17
18,12000,15572436679927626994,-107.60,500,0,-97.23,500.0,0.0,18
19,12000,12100722552882805080,-107.62,500,0,-97.78,500.0,0.0,19
20,12000,5422312673772011359,-117.32,500,0,-98.76,500.0,0.0,20
21,12000,15003482508471731330,-100.51,500,0,-98.84,500.0,0.0,21
22,12000,13234536202907338590,-141.33,500,0,-100.77,500.0,0.0,22
23,12000,18177451362958227695,-55.65,500,0,-98.81,500.0,0.0,23
24,12000,14776073749056768426,-85.48,500,0,-98.25,500.0,0.0,24
25,18000,15876696128150197177,-100.26,500,0,-98.33,500.0,0.0,25
26,18000,16643051670238393758,-92.76,500,0,-98.12,500.0,0.0,26
27,18000,13750942603707172542,-100.39,500,0,-98.20,500.0,0.0,27
28,18000,8323620824426157167,-91.87,500,0,-97.98,500.0,0.0,28
29,18000,12974784844508741856,-114.06,500,0,-98.53,500.0,0.0,29
30,18000,3946675017130034155,-86.43,500,0,-98.13,500.0,0.0,30
31,18000,10235953528359856589,-99.02,500,0,-98.16,500.0,0.0,31
32,18000,13148765069588439864,-100.29,500,0,-98.22,500.0,0.0,32
33,18000,7831641672757584953,-113.85,500,0,-98.70,500.0,0.0,33
34,18000,7530588993633936101,-118.02,500,0,-99.27,500.0,0.0,34
35,18000,8586445825670029330,-54.76,500,0,-97.99,500.0,0.0,35
36,18000,4008522060595671513,-127.17,500,0,-98.80,500.0,0.0,36
37,24000,16758003372029569070,-143.57,500,0,-100.01,500.0,0.0,37
38,24000,7123441938980902944,-87.27,500,0,-99.68,500.0,0.0,38
39,24000,1123201832056615056,-119.08,500,0,-100.18,500.0,0.0,39
40,24000,9827564118592775222,-86.42,500,0,-99.83,500.0,0.0,40
41,24000,4949356209468868854,-95.95,500,0,-99.74,500.0,0.0,41
42,24000,14563005126951685001,-75.18,500,0,-99.15,500.0,0.0,42
43,24000,16499621993911982051,-84.69,500,0,-98.82,500.0,0.0,43
44,24000,15569156720587463771,-104.69,500,0,-98.95,500.0,0.0,44
45,24000,17029012220414423703,-114.45,500,0,-99.29,500.0,0.0,45
46,24000,5088815643279426220,-87.36,500,0,-99.03,500.0,0.0,46
47,24000,10303707910544264367,-123.07,500,0,-99.55,500.0,0.0,47
48,24000,17938581618549075914,-91.37,500,0,-99.38,500.0,0.0,48
49,29364,3332503742376185548,291.33,447,1,-91.40,498.9,2.0,49
50,30000,5958682710742231644,-37.51,500,0,-90.32,498.9,2.0,50
51,30000,13152133416350454799,-99.32,500,0,-90.50,499.0,2.0,51
52,30000,5956481133054387399,-52.69,500,0,-89.77,499.0,1.9,52
53,30000,5420683628343198450,-19.76,500,0,-88.45,499.0,1.9,53
54,30000,15922419184530991241,-77.17,500,0,-88.24,499.0,1.9,54
55,30000,18020233497698300673,-27.04,500,0,-87.13,499.0,1.8,55
56,30000,17338635869069036976,-89.32,500,0,-87.17,499.1,1.8,56
57,30000,1792464209987715186,-45.98,500,0,-86.45,499.1,1.8,57
58,30000,13280943330434515189,-15.86,500,0,-85.23,499.1,1.7,58
