# Seed CSV: C:\Users\Aurick\Documents\COLLEGE\code\CS-Thesis-Model-Training\seeds\prng_seeds.csv
# NOTE: Train 19 - Each environment uses unique/offset mazes in parallel

episode,timestep,maze_seed,reward,length,success,avg_reward_100,avg_length_100,success_rate_100,unique_mazes_seen
1,6000,971695362467996196,-114.94,500,0,-114.94,500.0,0.0,1
2,6000,4722055102353018575,-105.90,500,0,-110.42,500.0,0.0,2
3,6000,9416705256328773456,-114.80,500,0,-111.88,500.0,0.0,3
4,6000,18209816042987392921,-95.72,500,0,-107.84,500.0,0.0,4
5,6000,12249684362543296198,-82.08,500,0,-102.69,500.0,0.0,5
6,6000,18439256158492860165,-62.51,500,0,-95.99,500.0,0.0,6
7,6000,3434422392642176074,-98.20,500,0,-96.31,500.0,0.0,7
8,6000,5935988960942181436,-99.07,500,0,-96.65,500.0,0.0,8
9,6000,13288998900360654768,-88.87,500,0,-95.79,500.0,0.0,9
10,6000,6485551435170465117,-113.01,500,0,-97.51,500.0,0.0,10
11,6000,7222146671798848202,-40.19,500,0,-92.30,500.0,0.0,11
12,6000,1925203196787626386,-85.02,500,0,-91.69,500.0,0.0,12
13,12000,12791249090344812902,-70.32,500,0,-90.05,500.0,0.0,13
14,12000,16271330311358250483,-115.98,500,0,-91.90,500.0,0.0,14
15,12000,16216597592657657882,-158.50,500,0,-96.34,500.0,0.0,15
16,12000,15166214502129994831,-84.21,500,0,-95.58,500.0,0.0,16
17,12000,3950739390256855190,-68.55,500,0,-93.99,500.0,0.0,17
18,12000,15572436679927626994,-114.70,500,0,-95.14,500.0,0.0,18
19,12000,12100722552882805080,-87.69,500,0,-94.75,500.0,0.0,19
20,12000,5422312673772011359,-91.99,500,0,-94.61,500.0,0.0,20
21,12000,15003482508471731330,-68.94,500,0,-93.39,500.0,0.0,21
22,12000,13234536202907338590,-102.53,500,0,-93.80,500.0,0.0,22
23,12000,18177451362958227695,-113.68,500,0,-94.67,500.0,0.0,23
24,12000,14776073749056768426,-76.43,500,0,-93.91,500.0,0.0,24
25,18000,15876696128150197177,-84.70,500,0,-93.54,500.0,0.0,25
26,18000,16643051670238393758,-67.41,500,0,-92.53,500.0,0.0,26
27,18000,13750942603707172542,-45.35,500,0,-90.79,500.0,0.0,27
28,18000,8323620824426157167,-101.73,500,0,-91.18,500.0,0.0,28
29,18000,12974784844508741856,-108.74,500,0,-91.78,500.0,0.0,29
30,18000,3946675017130034155,-103.17,500,0,-92.16,500.0,0.0,30
31,18000,10235953528359856589,-78.32,500,0,-91.72,500.0,0.0,31
32,18000,13148765069588439864,-90.89,500,0,-91.69,500.0,0.0,32
33,18000,7831641672757584953,-79.83,500,0,-91.33,500.0,0.0,33
34,18000,7530588993633936101,-81.07,500,0,-91.03,500.0,0.0,34
35,18000,8586445825670029330,-81.16,500,0,-90.75,500.0,0.0,35
36,18000,4008522060595671513,-116.80,500,0,-91.47,500.0,0.0,36
37,24000,16758003372029569070,-98.00,500,0,-91.65,500.0,0.0,37
38,24000,7123441938980902944,-100.48,500,0,-91.88,500.0,0.0,38
39,24000,1123201832056615056,-29.87,500,0,-90.29,500.0,0.0,39
40,24000,9827564118592775222,-59.31,500,0,-89.51,500.0,0.0,40
41,24000,4949356209468868854,-86.94,500,0,-89.45,500.0,0.0,41
42,24000,14563005126951685001,-87.47,500,0,-89.40,500.0,0.0,42
43,24000,16499621993911982051,-96.29,500,0,-89.56,500.0,0.0,43
44,24000,15569156720587463771,-104.95,500,0,-89.91,500.0,0.0,44
45,24000,17029012220414423703,-79.92,500,0,-89.69,500.0,0.0,45
46,24000,5088815643279426220,-84.70,500,0,-89.58,500.0,0.0,46
47,24000,10303707910544264367,-139.21,500,0,-90.64,500.0,0.0,47
48,24000,17938581618549075914,-72.69,500,0,-90.27,500.0,0.0,48
49,30000,5958682710742231644,-79.80,500,0,-90.05,500.0,0.0,49
50,30000,13152133416350454799,-105.60,500,0,-90.36,500.0,0.0,50
51,30000,5956481133054387399,-89.24,500,0,-90.34,500.0,0.0,51
52,30000,5420683628343198450,-88.86,500,0,-90.31,500.0,0.0,52
53,30000,15922419184530991241,-69.08,500,0,-89.91,500.0,0.0,53
54,30000,18020233497698300673,-95.03,500,0,-90.01,500.0,0.0,54
55,30000,17338635869069036976,-45.84,500,0,-89.20,500.0,0.0,55
56,30000,1792464209987715186,-56.44,500,0,-88.62,500.0,0.0,56
57,30000,13280943330434515189,-85.94,500,0,-88.57,500.0,0.0,57
58,30000,13831009015536520439,-93.90,500,0,-88.66,500.0,0.0,58
59,30000,3332503742376185548,-93.43,500,0,-88.74,500.0,0.0,59
60,30000,11580923707428295608,-50.23,500,0,-88.10,500.0,0.0,60
61,36000,10552593266273712147,-69.45,500,0,-87.80,500.0,0.0,61
62,36000,5779138346327290062,-102.02,500,0,-88.03,500.0,0.0,62
63,36000,18414115309215937601,-107.85,500,0,-88.34,500.0,0.0,63
64,36000,11602112522636337744,-93.12,500,0,-88.41,500.0,0.0,64
65,36000,12339132143176000527,-76.74,500,0,-88.23,500.0,0.0,65
66,36000,213708382150317922,-104.33,500,0,-88.48,500.0,0.0,66
67,36000,14829927916230554584,-45.73,500,0,-87.84,500.0,0.0,67
