# Seed CSV: /Users/angelobaricante/CS-Thesis-Model-Training/seeds/qrng_seeds.csv
# NOTE: A2C Training - Each environment uses unique/offset mazes in parallel

episode,timestep,maze_seed,reward,length,success,avg_reward_100,avg_length_100,success_rate_100,unique_mazes_seen
1,3588,6550599649586689508,273.60,299,1,273.60,299.0,100.0,1
2,6000,13489725472828908841,-49.45,500,0,112.07,399.5,50.0,2
3,6000,6171947649416591322,-94.85,500,0,43.10,433.0,33.3,3
4,6000,15248021848742551826,-90.55,500,0,9.69,449.8,25.0,4
5,6000,3024614475431424903,-50.93,500,0,-2.44,459.8,20.0,5
6,6000,8421032824675649285,-90.81,500,0,-17.17,466.5,16.7,6
7,6000,137743098416772409,-87.94,500,0,-27.28,471.3,14.3,7
8,6000,10825776799651039450,-62.58,500,0,-31.69,474.9,12.5,8
9,6000,10673939618093821046,-148.64,500,0,-44.68,477.7,11.1,9
10,6000,3033551743436537089,-121.45,500,0,-52.36,479.9,10.0,10
11,6000,13100570903668117029,-115.93,500,0,-58.14,481.7,9.1,11
12,6000,13460545218872008355,-82.23,500,0,-60.15,483.2,8.3,12
13,9588,6001182031169597924,-55.20,500,0,-59.77,484.5,7.7,13
14,12000,4535469543323143118,-59.04,500,0,-59.71,485.6,7.1,14
15,12000,7963437600900595466,-88.66,500,0,-61.64,486.6,6.7,15
16,12000,4613197450636686963,-66.37,500,0,-61.94,487.4,6.2,16
17,12000,13145616319605486461,-74.92,500,0,-62.70,488.2,5.9,17
18,12000,8732497094669464261,-16.85,500,0,-60.15,488.8,5.6,18
19,12000,10754664279746954151,-46.36,500,0,-59.43,489.4,5.3,19
20,12000,7305357861771059007,-78.82,500,0,-60.40,489.9,5.0,20
21,12000,1043968853803077998,-56.15,500,0,-60.20,490.4,4.8,21
22,12000,3431877959751719732,-30.47,500,0,-58.84,490.9,4.5,22
23,12000,4858779513777518555,23.05,500,0,-55.28,491.3,4.3,23
24,12000,12934048555403895870,-39.21,500,0,-54.61,491.6,4.2,24
25,15588,6487450829014363214,63.24,500,0,-49.90,492.0,4.0,25
26,18000,16112388300639988501,-50.75,500,0,-49.93,492.3,3.8,26
27,18000,15336730116398655285,10.50,500,0,-47.69,492.6,3.7,27
28,18000,17875627648110973066,15.12,500,0,-45.45,492.8,3.6,28
29,18000,7127552978843871313,78.82,500,0,-41.17,493.1,3.4,29
30,18000,4510579620332624255,-27.72,500,0,-40.72,493.3,3.3,30
31,18000,4529180109597153941,-45.60,500,0,-40.88,493.5,3.2,31
32,18000,3158158378977722743,112.28,500,0,-36.09,493.7,3.1,32
33,18000,12396094131003682828,-90.11,500,0,-37.73,493.9,3.0,33
34,18000,17610203196594821702,-65.70,500,0,-38.55,494.1,2.9,34
35,18000,11235206640686777757,10.72,500,0,-37.14,494.3,2.9,35
36,18000,811813770382393753,26.62,500,0,-35.37,494.4,2.8,36
37,21588,9186765785496463054,-42.39,500,0,-35.56,494.6,2.7,37
38,24000,14446539011501570785,-0.45,500,0,-34.64,494.7,2.6,38
39,24000,1623035611873735355,88.39,500,0,-31.48,494.8,2.6,39
40,24000,3677812005404074580,118.23,500,0,-27.74,495.0,2.5,40
41,24000,4162563293777859714,114.69,500,0,-24.26,495.1,2.4,41
42,24000,13970664724812757927,13.67,500,0,-23.36,495.2,2.4,42
43,24000,5795407478338048581,154.11,500,0,-19.23,495.3,2.3,43
44,24000,5438062045018060513,170.66,500,0,-14.92,495.4,2.3,44
45,24000,15528842599978318346,39.57,500,0,-13.71,495.5,2.2,45
46,24000,12850146721234923910,0.19,500,0,-13.40,495.6,2.2,46
47,24000,9889681733023020709,129.50,500,0,-10.36,495.7,2.1,47
48,24000,9958069282142524715,92.95,500,0,-8.21,495.8,2.1,48
49,27588,7583682702758548915,72.28,500,0,-6.57,495.9,2.0,49
50,30000,9564608022071936158,144.07,500,0,-3.56,496.0,2.0,50
51,30000,18283032215131063166,10.74,500,0,-3.28,496.1,2.0,51
52,30000,1179935533135775049,12.70,500,0,-2.97,496.1,1.9,52
53,30000,9114864688611525715,137.19,500,0,-0.32,496.2,1.9,53
54,30000,14904089564820360810,140.36,500,0,2.28,496.3,1.9,54
55,30000,17350772336963884912,4.69,500,0,2.33,496.3,1.8,55
56,30000,11050591303953411250,164.56,500,0,5.22,496.4,1.8,56
57,30000,11452373918019542496,75.51,500,0,6.46,496.5,1.8,57
58,30000,3390217654545902577,163.86,500,0,9.17,496.5,1.7,58
59,30000,15241124315464294844,22.91,500,0,9.40,496.6,1.7,59
60,30000,7663922228771831772,24.76,500,0,9.66,496.6,1.7,60
61,33588,17206735167347108618,66.85,500,0,10.60,496.7,1.6,61
62,36000,13453077023078328898,71.43,500,0,11.58,496.8,1.6,62
63,36000,4439031506494153421,183.80,500,0,14.31,496.8,1.6,63
64,36000,301641859563699251,116.49,500,0,15.91,496.9,1.6,64
65,36000,12655888713526143854,37.54,500,0,16.24,496.9,1.5,65
66,36000,9231693444609347206,58.17,500,0,16.88,497.0,1.5,66
67,36000,16548616157381596168,156.38,500,0,18.96,497.0,1.5,67
68,36000,9288755463338780292,134.76,500,0,20.66,497.0,1.5,68
69,36000,10044960970903465745,71.80,500,0,21.40,497.1,1.4,69
70,36000,797241283643617672,86.06,500,0,22.33,497.1,1.4,70
71,36000,1282709819021874862,154.19,500,0,24.18,497.2,1.4,71
72,36000,14920185945280404569,153.69,500,0,25.98,497.2,1.4,72
