# Seed CSV: prng_seeds.csv
# NOTE: Train 19 - Each environment uses unique/offset mazes in parallel

episode,timestep,maze_seed,reward,length,success,avg_reward_100,avg_length_100,success_rate_100,unique_mazes_seen
1,6000,971695362467996196,-78.09,500,0,-78.09,500.0,0.0,1
2,6000,4722055102353018575,-95.47,500,0,-86.78,500.0,0.0,2
3,6000,9416705256328773456,-79.24,500,0,-84.26,500.0,0.0,3
4,6000,18209816042987392921,-95.70,500,0,-87.12,500.0,0.0,4
5,6000,12249684362543296198,-89.71,500,0,-87.64,500.0,0.0,5
6,6000,18439256158492860165,-99.99,500,0,-89.70,500.0,0.0,6
7,6000,3434422392642176074,-121.88,500,0,-94.29,500.0,0.0,7
8,6000,5935988960942181436,-105.78,500,0,-95.73,500.0,0.0,8
9,6000,13288998900360654768,-109.80,500,0,-97.29,500.0,0.0,9
10,6000,6485551435170465117,-70.20,500,0,-94.58,500.0,0.0,10
11,6000,7222146671798848202,-124.43,500,0,-97.30,500.0,0.0,11
12,6000,1925203196787626386,-113.34,500,0,-98.63,500.0,0.0,12
13,12000,12791249090344812902,-117.53,500,0,-100.09,500.0,0.0,13
14,12000,16271330311358250483,-114.96,500,0,-101.15,500.0,0.0,14
15,12000,16216597592657657882,-60.07,500,0,-98.41,500.0,0.0,15
16,12000,15166214502129994831,-81.00,500,0,-97.32,500.0,0.0,16
17,12000,3950739390256855190,-93.66,500,0,-97.11,500.0,0.0,17
18,12000,15572436679927626994,-117.36,500,0,-98.23,500.0,0.0,18
19,12000,12100722552882805080,-75.22,500,0,-97.02,500.0,0.0,19
20,12000,5422312673772011359,-78.92,500,0,-96.11,500.0,0.0,20
21,12000,15003482508471731330,-100.26,500,0,-96.31,500.0,0.0,21
22,12000,13234536202907338590,-91.22,500,0,-96.08,500.0,0.0,22
23,12000,18177451362958227695,-93.76,500,0,-95.98,500.0,0.0,23
24,12000,14776073749056768426,-114.28,500,0,-96.74,500.0,0.0,24
25,18000,15876696128150197177,-89.81,500,0,-96.46,500.0,0.0,25
26,18000,16643051670238393758,-56.32,500,0,-94.92,500.0,0.0,26
27,18000,13750942603707172542,-130.65,500,0,-96.24,500.0,0.0,27
28,18000,8323620824426157167,-104.63,500,0,-96.54,500.0,0.0,28
29,18000,12974784844508741856,-58.71,500,0,-95.24,500.0,0.0,29
